"country","SFTGcode","COW","risk_in_2022","risk_in_2022_23","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Pakistan","PAK",770,0.06458,0.1631,1,1,0,0,0,0,1,4.31748811353631,19.2235341781668,7.36206492772238,0.0430152715272616,0,1,0,0.71,6.0282785202307,1,4,1,1,0,0,0,0.635,0,0,0,1,-0.541,-3.03739605531298,0
"Burma/Myanmar","MYA",775,0.05045,0.1077,1,1,0,1,0,0,0,4.30406509320417,17.8138059772744,5.91607978309962,-0.154898472816985,0,1,1,0.51,6.93925394604151,1,3,0,2,1,0,0,0.056,1,0,0,1,-0.513,-2.40267459683918,1
"Ethiopia","ETI",530,0.0425,0.08688,1,1,1,0,0,0,0,7.66011431917393,18.57719536763,5.94978991225741,0.0397809304480515,0,1,1,0.72,9.09582698518742,1,3,2,3,0,0,0,0.608,0,0,0,1,0.759,-3.26902641373544,0
"Yemen","YEM",679,0.04198,0.1293,0,0,0,0,0,1,0,3.46573590279973,17.2310600590656,6.76017751246223,-0.0236683134386846,0,1,1,0.135,10.0514764302496,1,4,0,0,1,0,0,0.242,1,0,0,1,-0.91,-2.45074053633127,0
"Somalia","SOM",520,0.04084,0.06889,1,1,1,0,0,0,0,4.12713438504509,16.6154872264836,8.52642949891688,0.0208019733145645,1,1,0,0.81,7.68386398025643,1,4,1,0,0,0,0,0.466,0,0,0,1,-0.683,-1.64821469056421,0
"Chad","CHA",483,0.03901,0.09237,0,1,1,0,0,0,0,4.12713438504509,16.6483812926235,8.20975030070952,-0.0165681369355766,1,1,1,0.86,6.18826412308259,0,3,0,3,0,0,1,0.448,0,0,0,1,-1.165,-1.91065937796724,1
"Sudan","SUD",625,0.03558,0.07265,1,1,1,0,0,0,0,4.18965474202643,17.6156576890114,6.3166446789415,-0.00573412994660541,0,1,1,0.71,3.46573590279973,1,3,1,2,0,0,0,0.324,0,0,0,1,2.1,-5.22481331789115,1
"Nigeria","NIG",475,0.03441,0.07859,1,1,1,0,0,0,0,4.12713438504509,19.1603737771796,8.4970583144992,0.0233795274114995,0,1,0,0.85,7.60090245954208,1,4,2,3,0,1,1,0.812,0,0,0,1,-0.415,-2.89529333592206,0
"Central African Republic","CEN",482,0.03092,0.04954,1,1,1,0,0,0,0,4.12713438504509,15.4485648521987,8.80340843082951,0.000738785371636797,1,1,1,0.83,6.83410873881384,0,4,1,4,0,0,0,0.626,0,0,0,1,-0.724,-2.59426125400011,0
"India","IND",750,0.03073,0.07383,1,1,0,0,0,0,1,4.31748811353631,21.0451189654968,5.19615242270663,0.0670654961067082,0,1,0,0.42,6.06842558824411,1,4,1,2,0,1,1,0.793,0,0,0,1,0.078,-2.61946707254234,0
"Afghanistan","AFG",700,0.02928,0.0767,0,1,0,0,0,0,1,4.63472898822964,17.4964770332838,6.70820393249937,-0.0226238375998584,0,1,1,0.77,10.4799042682926,1,0,0,0,1,0,0,0.213,1,1,1,1,-1.216,-0.910250627535504,0
"Guinea","GUI",438,0.02734,0.05931,0,1,1,0,0,0,0,4.15888308335967,16.4263674168496,7.87400787401181,0.0190613769198998,1,1,0,0.74,0,1,3,1,4,0,0,0,0.25,0,0,0,1,-0.179,-1.86463332641654,1
"Iraq","IRQ",645,0.02667,0.05999,1,1,0,0,0,1,0,4.49980967033027,17.5294526401358,4.61519230368573,0.0162601600873441,0,1,0,0.37,6.56244409369372,1,3,1,2,0,0,0,0.309,0,0,0,1,-0.096,-2.33216722981705,0
"Democratic Republic of Congo","ZAI",490,0.02499,0.04297,1,1,1,0,0,0,0,4.12713438504509,18.3340361126215,7.98749021908634,0.0403982190028073,1,1,1,0.87,6.92853781816467,1,4,1,3,0,1,1,0.76,0,0,0,1,-1.09,-1.95831602359525,0
"Syria","SYR",652,0.02475,0.06359,1,1,0,0,0,1,0,4.33073334028633,16.7246630574062,4.28952211790544,-0.137931034482759,0,1,1,0.54,7.2115567333138,1,1,0,1,1,0,0,0.056,1,0,1,1,-1.432,-2.45655620415841,0
"Republic of the Congo","CON",484,0.01979,0.05062,0,1,1,0,0,0,0,4.12713438504509,15.5818026261455,5.74456264653803,-0.0355235011121493,1,1,0,0.87,0,1,4,1,4,1,0,0,0.059,0,0,0,1,0.107,-1.4411107979264,0
"Thailand","THI",800,0.01963,0.04905,0,1,0,1,0,0,0,6.51025834052315,18.0568098454877,2.72029410174709,0.00623001085790283,0,1,1,0.63,3.66356164612965,1,4,1,4,0,0,0,0.165,0,0,0,1,0.029,-1.53429920897486,0
"Zimbabwe","ZIM",552,0.01796,0.05394,0,1,1,0,0,0,0,3.73766961828337,16.536124522254,6.15629758864855,0.0415290755547405,0,1,1,0.39,0,1,4,0,4,1,0,0,0.289,0,1,0,1,-0.778,-2.00773004696465,1
"China","CHN",710,0.0175,0.03119,0,1,0,1,0,0,0,7.71556953452021,21.0586253231426,2.34520787991172,0.0601577770559426,0,1,1,0.15,0,1,0,1,0,0,0,0,0.218,1,0,0,1,-0.027,-2.78987460267203,0
"Mozambique","MZM",541,0.01746,0.03518,0,1,1,0,0,0,0,3.85014760171006,17.2840332023365,7.26636084983398,0.0116571888982015,0,1,0,0.69,6.56807791141198,1,4,1,4,0,1,0,0.612,0,0,0,0,1.067,-1.66900001208523,0
"Mali","MLI",432,0.01696,0.03024,0,0,1,0,0,0,0,4.12713438504509,16.8550391382821,7.66811580507233,0.0186216146655657,1,1,1,0.69,6.58892647753352,1,4,2,3,0,1,1,0.875,0,0,0,1,0.392,-2.10187009164969,1
"Uganda","UGA",500,0.01593,0.03675,0,1,1,0,0,0,0,4.0943445622221,17.6635226018925,5.64800849857718,0.0211745074446961,1,1,1,0.93,0,1,4,1,3,0,0,0,0.512,0,1,0,1,0.187,-2.66227738233674,0
"Indonesia","INS",850,0.0151,0.03424,0,1,0,1,0,0,0,4.29045944114839,19.4280500013605,4.41588043316392,0.0237425917765964,0,1,0,0.74,3.95124371858143,0,3,1,3,0,1,1,0.623,0,0,0,1,0.019,-2.7049797395952,0
"South Sudan","SSD",626,0.01495,0.02024,1,1,1,0,0,0,0,2.39789527279837,16.2592540248332,7.95612971236643,-0.052,0,1,1,0.73,5.24174701505964,1,1,1,3,0,0,0,0.196,1,1,0,1,-2.587,-1.29159387993184,0
"Niger","NIR",436,0.01467,0.02364,0,0,1,0,0,0,0,4.12713438504509,17.039477310992,6.75277720645365,0.00446435406958051,1,1,0,0.65,6.12468339089421,1,4,2,3,0,1,1,0.845,0,0,0,0,1.301,-2.78319470806556,1
"Burundi","BUI",516,0.01426,0.03455,0,1,1,0,0,0,0,4.0943445622221,16.3317023123428,6.21288982680363,0.00811733644481796,0,1,1,0.3,3.29583686600433,1,3,1,3,1,0,0,0.131,0,1,0,1,0.073,-3.07865928253257,0
